poi_id,baseline_name,baseline_zone,baseline_latitude,baseline_longitude,match_status,validation_status,match_method,matched_osm_type,matched_osm_id,matched_zone,nearest_osm_name,nearest_osm_category,nearest_osm_zone,nearest_distance_meters,name_similarity,audit_note
P-002,Istanbul Kebab Turki House Moses,Depok,-7.778,110.386,not_matched_to_osm,verified_baseline_only,,,,Depok,Milkshake Juice/Smoothies,cafe,Ngaglik Selatan,9929,0.491,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-003,Heybab Kebab Concat,Depok,-7.747,110.402,not_matched_to_osm,verified_baseline_only,,,,Depok,Kebab Bosman,direct_kebab_competitor,Depok/Mlati,4930,0.516,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-004,H Kebab,Depok,-7.775,110.389,not_matched_to_osm,verified_baseline_only,,,,Depok,Kebab Bosman,direct_kebab_competitor,Depok/Mlati,1567,0.526,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-005,Kebab Turkiyem UGM,Depok,-7.772,110.38,not_matched_to_osm,verified_baseline_only,,,,Depok,Koperasi Kompa UGM,retail,Depok/Mlati,632,0.556,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-006,Kebab Ajib Condong Catur,Depok,-7.7455,110.401,not_matched_to_osm,verified_baseline_only,,,,Depok,TK ABA Condongcatur,school,Depok,1432,0.744,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-007,Morgans Kebab Pandega,Ngaglik Selatan,-7.7557642,110.3763824,not_matched_to_osm,verified_baseline_only,,,,Ngaglik Selatan,SS Special Sambal Pandega,restaurant,Depok/Mlati,35,0.565,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-008,Kebab Turki Baba Rafi Sendangadi,Mlati,-7.745,110.36,not_matched_to_osm,verified_baseline_only,,,,Mlati,"Bakwan kawi bu jarwani, sinduadi",restaurant,Depok/Mlati,1156,0.54,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-009,Kebab Bosman Monjali,Mlati,-7.75,110.365,matched,matched_osm,direct_competitor_fuzzy,node,9200943211,Depok,Kebab Bosman,direct_kebab_competitor,Depok/Mlati,4191,0.75,Matched to OSM and already enriched in poi_final.
P-010,Jogja City Mall,Mlati,-7.752,110.361,matched,matched_osm,activity_support_fuzzy,way,608602428,Mlati,Jogja City Mall,retail,Depok/Mlati,163,1.0,Matched to OSM and already enriched in poi_final.
P-011,Terminal Jombor,Mlati,-7.748,110.362,not_matched_to_osm,verified_baseline_only,,,,Mlati,bakmi Jombor,restaurant,Depok/Mlati,62,0.667,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-012,Morgans Kebab Godean,Gamping,-7.78,110.325,not_matched_to_osm,verified_baseline_only,,,,Gamping,Mirota Godean,retail,Gamping/Mlati,2742,0.606,"Baseline record is supported by external public listing, but no reliable OSM object was found."
P-013,Kebab Bang Aji,Gamping,-7.79,110.32,not_matched_to_osm,verified_baseline_only,,,,Gamping,Kebab Bosman,direct_kebab_competitor,Depok/Mlati,6525,0.692,"Baseline record is supported by external public listing, but no reliable OSM object was found."
