swot_type,factor_code,factor_title,evidence,source_dataset,related_metric,zone,confidence,recommendation
Strength,S1,Positioning rasa lokal sudah terlihat,Kebab dengan citarasa khas nusantara,mbak_kebab_internal_baseline.csv,brand_positioning,All,medium,Pertahankan pesan diferensiasi citarasa nusantara sebagai pembeda utama dibanding kebab generik.
Strength,S2,Produk cocok untuk fast food dan take-away,"Bentuk produk kebab dan variasi paket menunjukkan model yang cocok untuk pembelian cepat, take-away, dan penjualan di area mahasiswa atau traffic tinggi.",mbak_kebab_menu.csv,menu_count,All,medium,"Gunakan format penjualan cepat, bundling, dan promosi delivery sebagai kekuatan operasional."
Strength,S3,Ada indikasi harga historis terjangkau,Jejak publik menunjukkan kisaran harga historis sekitar Rp8000 sampai Rp23000 untuk beberapa menu yang terdeteksi.,mbak_kebab_menu.csv,historical_price_range,All,low,"Jika harga masih kompetitif, jadikan paket hemat dan entry price sebagai alat penetrasi pasar."
Strength,S4,Narasi bahan fresh dan halal mendukung kepercayaan awal,"100% ayam fresh, daging pilihan, bahan baku halal",mbak_kebab_internal_baseline.csv,product_claim,All,medium,"Jadikan klaim bahan fresh dan halal sebagai pendukung trust, tetapi tetap siapkan validasi jika dipakai di materi resmi."
Weakness,W1,Outlet Sleman Selatan belum terverifikasi,Outlet aktif di Sleman Selatan belum terverifikasi dalam data publik ini,mbak_kebab_internal_baseline.csv,sleman_presence,Sleman Selatan,medium,"Posisikan studi ini sebagai analisis ekspansi, bukan evaluasi outlet aktif yang sudah mapan."
Weakness,W2,Harga terbaru belum lengkap,2 dari 18 item menu belum memiliki harga current yang terverifikasi pada dataset publik.,mbak_kebab_menu.csv,missing_current_price_count,All,high,"Sebelum presentasi final, lengkapi harga aktif, margin, dan produk prioritas untuk menguatkan analisis komersial."
Weakness,W3,Spesifikasi ukuran dan detail produk belum stabil,1 item menu masih memakai penanda ukuran atau detail produk yang belum pasti.,mbak_kebab_menu.csv,unknown_size_count,All,medium,"Rapikan ukuran produk, komposisi, dan best seller agar materi penjualan dan pricing lebih kuat."
Weakness,W4,Bukti awareness lokal Sleman masih terbatas,"Jejak brand publik lebih mengarah ke Ponorogo dan Jawa Timur, sementara bukti penetrasi brand di pasar Sleman belum terlihat kuat.",mbak_kebab_internal_baseline.csv,known_operational_area,Sleman Selatan,medium,"Jika masuk Sleman, siapkan strategi awareness lokal seperti tester, booth event, atau reseller area kampus."
Opportunity,O1,Depok menjadi kandidat zona utama,Depok memiliki business potential score 78.7 dan memimpin ranking zona saat ini.,data/clean/zone_scoring_final.csv,business_potential_score,Depok,medium,"Jadikan Depok sebagai fokus eksplorasi lokasi, khususnya untuk uji pasar atau validasi titik jual."
Opportunity,O2,Titik pendidikan dan retail memberi peluang traffic konsumen,Depok memiliki education_count 285 dan retail_count 219 yang menunjukkan potensi pergerakan target pasar.,data/clean/zone_summary_final.csv,education_count + retail_count,Depok,medium,"Gunakan area kampus, sekolah, dan retail sebagai orientasi pencarian titik penjualan atau promosi."
Opportunity,O3,Zona dengan kompetitor kebab lebih rendah cocok untuk uji pasar,Ngaglik Selatan memiliki low_competition_score 83.11 yang paling tinggi di antara zona yang dianalisis.,data/clean/zone_scoring_final.csv,low_competition_score,Ngaglik Selatan,medium,"Pertimbangkan Ngaglik Selatan untuk model soft opening, booth, atau reseller sebelum ekspansi lebih besar."
Opportunity,O4,Aktivitas kuliner tinggi membuka peluang demand yang sudah terbentuk,"Zona dengan aktivitas kuliner tinggi seperti Depok menunjukkan pasar sudah aktif, sehingga produk baru tidak perlu membangun demand dari nol.",data/clean/zone_summary_final.csv,culinary_activity_count,Depok,medium,Masuk dengan diferensiasi yang jelas agar bisa menumpang arus demand yang sudah ada.
Threat,T1,Kompetisi tertinggi terkonsentrasi di Depok,Depok memiliki threat_score 84.91 dan direct competitor count yang relatif paling tinggi.,data/clean/zone_scoring_final.csv,threat_score,Depok,medium,"Masuk ke zona ini harus disertai diferensiasi rasa, harga, dan lokasi mikro yang lebih cermat."
Threat,T2,Pilihan kuliner alternatif sangat padat,Depok memiliki culinary_activity_count 862 yang menunjukkan konsumen punya banyak pilihan makanan cepat saji dan kuliner lain.,data/clean/zone_summary_final.csv,culinary_activity_count,Depok,medium,Hindari positioning kebab generik; tonjolkan nilai unik dan alasan beli yang spesifik.
Threat,T3,Harga kompetitor bisa menekan ruang bermain,Data publik kompetitor menunjukkan price point mulai sekitar Rp6000 pada item yang berhasil terdeteksi.,competitor_menu_price.csv,price_idr,All,medium,"Siapkan strategi paket, porsi, dan value proposition agar tidak terjebak perang harga murni."
Threat,T4,Pemain yang sudah dekat koridor mahasiswa lebih dulu hadir,"Nama kompetitor seperti Istanbul Kebab Turki House Moses, Heybab Kebab Concat, Heybab Kebab Concat, Kebab Ayam DNayo, H Kebab menunjukkan beberapa pemain sudah menempel pada koridor aktif mahasiswa dan kuliner.",competitor_menu_price.csv,competitor_name,Depok,medium,Cari titik jual yang tidak terlalu berhimpitan atau gunakan strategi mobile/pop-up untuk mengurangi benturan langsung.
